sample-id	Site_layer	Site_old	Site	Phasic_community	Type	Depth_cm	Depth_group_cm	Depth_layer	pH	Na	K	Sulfate	Nitrate	Phosphate
st1-1A	st1_1	st1	SSPS1	Mangrove	Brackish	1	0_to_30	Acrotelm	6.97	9.8	10.99	2.03	0.03	1.23
st1-1B	st1_1	st1	SSPS1	Mangrove	Brackish	1	0_to_30	Acrotelm	6.97	9.8	10.99	2.03	0.03	1.23
st1-1C	st1_1	st1	SSPS1	Mangrove	Brackish	1	0_to_30	Acrotelm	6.97	9.8	10.99	2.03	0.03	1.23
st1-2A	st1_2	st1	SSPS1	Mangrove	Brackish	16	0_to_30	Acrotelm	7.06	24.5	21.08	4.97	0	0.36
st1-2B	st1_2	st1	SSPS1	Mangrove	Brackish	16	0_to_30	Acrotelm	7.06	24.5	21.08	4.97	0	0.36
st1-2C	st1_2	st1	SSPS1	Mangrove	Brackish	16	0_to_30	Acrotelm	7.06	24.5	21.08	4.97	0	0.36
st1-3A	st1_3	st1	SSPS1	Mangrove	Brackish	41	30_to_100	Catotelm	6.24	31.64	30.1	6.96	0	0.66
st1-3B	st1_3	st1	SSPS1	Mangrove	Brackish	41	30_to_100	Catotelm	6.24	31.64	30.1	6.96	0	0.66
st1-3C	st1_3	st1	SSPS1	Mangrove	Brackish	41	30_to_100	Catotelm	6.24	31.64	30.1	6.96	0	0.66
st1-4A	st1_4	st1	SSPS1	Mangrove	Brackish	113	100_to_200	Catotelm	5.71	24.37	24.08	5.48	0	0.02
st1-4B	st1_4	st1	SSPS1	Mangrove	Brackish	113	100_to_200	Catotelm	5.71	24.37	24.08	5.48	0	0.02
st1-4C	st1_4	st1	SSPS1	Mangrove	Brackish	113	100_to_200	Catotelm	5.71	24.37	24.08	5.48	0	0.02
st1-5A	st1_5	st1	SSPS1	Mangrove	Brackish	136	100_to_200	Catotelm	6.16	21.58	19.9	4.75	0	0.03
st1-5B	st1_5	st1	SSPS1	Mangrove	Brackish	136	100_to_200	Catotelm	6.16	21.58	19.9	4.75	0	0.03
st1-5C	st1_5	st1	SSPS1	Mangrove	Brackish	136	100_to_200	Catotelm	6.16	21.58	19.9	4.75	0	0.03
st1-6A	st1_6	st1	SSPS1	Mangrove	Brackish	181	100_to_200	Catotelm	5.76	30.53	22.76	7.81	0	0.02
st1-6B	st1_6	st1	SSPS1	Mangrove	Brackish	181	100_to_200	Catotelm	5.76	30.53	22.76	7.81	0	0.02
st1-6C	st1_6	st1	SSPS1	Mangrove	Brackish	181	100_to_200	Catotelm	5.76	30.53	22.76	7.81	0	0.02
st1-7A	st1_7	st1	SSPS1	Mangrove	Brackish	200	100_to_200	Catotelm	5.11	17.91	15.85	7.23	0	0.04
st1-7B	st1_7	st1	SSPS1	Mangrove	Brackish	200	100_to_200	Catotelm	5.11	17.91	15.85	7.23	0	0.04
st2-1A	st2_1	st2	SSPS2	Mixed_forest	Freshwater	1	0_to_30	Acrotelm	3.73	14.52	3.71	4.36	0.02	0.39
st2-1B	st2_1	st2	SSPS2	Mixed_forest	Freshwater	1	0_to_30	Acrotelm	3.73	14.52	3.71	4.36	0.02	0.39
st2-1C	st2_1	st2	SSPS2	Mixed_forest	Freshwater	1	0_to_30	Acrotelm	3.73	14.52	3.71	4.36	0.02	0.39
st2-2A	st2_2	st2	SSPS2	Mixed_forest	Freshwater	11	0_to_30	Acrotelm	3.94	22.19	6.29	6.75	0.15	0.37
st2-2B	st2_2	st2	SSPS2	Mixed_forest	Freshwater	11	0_to_30	Acrotelm	3.94	22.19	6.29	6.75	0.15	0.37
st2-2C	st2_2	st2	SSPS2	Mixed_forest	Freshwater	11	0_to_30	Acrotelm	3.94	22.19	6.29	6.75	0.15	0.37
st2-3A	st2_3	st2	SSPS2	Mixed_forest	Freshwater	23	0_to_30	Acrotelm	3.93	5.18	1.56	1.6	0.04	0.28
st2-3B	st2_3	st2	SSPS2	Mixed_forest	Freshwater	23	0_to_30	Acrotelm	3.93	5.18	1.56	1.6	0.04	0.28
st2-3C	st2_3	st2	SSPS2	Mixed_forest	Freshwater	23	0_to_30	Acrotelm	3.93	5.18	1.56	1.6	0.04	0.28
st2-4A	st2_4	st2	SSPS2	Mixed_forest	Freshwater	48	30_to_100	Catotelm	3.66	4.61	3.83	2.01	0.04	0.29
st2-4B	st2_4	st2	SSPS2	Mixed_forest	Freshwater	48	30_to_100	Catotelm	3.66	4.61	3.83	2.01	0.04	0.29
st2-4C	st2_4	st2	SSPS2	Mixed_forest	Freshwater	48	30_to_100	Catotelm	3.66	4.61	3.83	2.01	0.04	0.29
st2-5A	st2_5	st2	SSPS2	Mixed_forest	Freshwater	98	30_to_100	Catotelm	3.97	4.64	0.42	1.34	0.02	0.01
st2-5B	st2_5	st2	SSPS2	Mixed_forest	Freshwater	98	30_to_100	Catotelm	3.97	4.64	0.42	1.34	0.02	0.01
st2-5C	st2_5	st2	SSPS2	Mixed_forest	Freshwater	98	30_to_100	Catotelm	3.97	4.64	0.42	1.34	0.02	0.01
st2-6A	st2_6	st2	SSPS2	Mixed_forest	Freshwater	183	100_to_200	Catotelm	4.2	6.46	0.47	3.6	0.17	0.01
st2-6B	st2_6	st2	SSPS2	Mixed_forest	Freshwater	183	100_to_200	Catotelm	4.2	6.46	0.47	3.6	0.17	0.01
st2-7A	st2_7	st2	SSPS2	Mixed_forest	Freshwater	198	100_to_200	Catotelm	4.23	4.94	0.75	1.17	0.02	0.09
st2-7B	st2_7	st2	SSPS2	Mixed_forest	Freshwater	198	100_to_200	Catotelm	4.23	4.94	0.75	1.17	0.02	0.09
st4-1A	st4_1	st4	SSPS3	Stunted_hardwood	Freshwater	1	0_to_30	Acrotelm	4.41	6.51	0.81	4.74	0.13	0.38
st4-1B	st4_1	st4	SSPS3	Stunted_hardwood	Freshwater	1	0_to_30	Acrotelm	4.41	6.51	0.81	4.74	0.13	0.38
st4-1C	st4_1	st4	SSPS3	Stunted_hardwood	Freshwater	1	0_to_30	Acrotelm	4.41	6.51	0.81	4.74	0.13	0.38
st4-2A	st4_2	st4	SSPS3	Stunted_hardwood	Freshwater	12	0_to_30	Acrotelm	4.33	4.65	1.78	1.29	0.04	0.26
st4-2B	st4_2	st4	SSPS3	Stunted_hardwood	Freshwater	12	0_to_30	Acrotelm	4.33	4.65	1.78	1.29	0.04	0.26
st4-2C	st4_2	st4	SSPS3	Stunted_hardwood	Freshwater	12	0_to_30	Acrotelm	4.33	4.65	1.78	1.29	0.04	0.26
st4-3A	st4_3	st4	SSPS3	Stunted_hardwood	Freshwater	23	0_to_30	Acrotelm	4.01	5.45	0.56	1.3	0.08	0.18
st4-3B	st4_3	st4	SSPS3	Stunted_hardwood	Freshwater	23	0_to_30	Acrotelm	4.01	5.45	0.56	1.3	0.08	0.18
st4-3C	st4_3	st4	SSPS3	Stunted_hardwood	Freshwater	23	0_to_30	Acrotelm	4.01	5.45	0.56	1.3	0.08	0.18
st4-4A	st4_4	st4	SSPS3	Stunted_hardwood	Freshwater	48	30_to_100	Catotelm	3.94	3.1	0.45	0.86	0.11	0.25
st4-4B	st4_4	st4	SSPS3	Stunted_hardwood	Freshwater	48	30_to_100	Catotelm	3.94	3.1	0.45	0.86	0.11	0.25
st4-4C	st4_4	st4	SSPS3	Stunted_hardwood	Freshwater	48	30_to_100	Catotelm	3.94	3.1	0.45	0.86	0.11	0.25
st4-5A	st4_5	st4	SSPS3	Stunted_hardwood	Freshwater	98	30_to_100	Catotelm	4.09	5.3	0.86	3.46	0.54	0.08
st4-5B	st4_5	st4	SSPS3	Stunted_hardwood	Freshwater	98	30_to_100	Catotelm	4.09	5.3	0.86	3.46	0.54	0.08
st4-5C	st4_5	st4	SSPS3	Stunted_hardwood	Freshwater	98	30_to_100	Catotelm	4.09	5.3	0.86	3.46	0.54	0.08
st4-6A	st4_6	st4	SSPS3	Stunted_hardwood	Freshwater	183	100_to_200	Catotelm	5.16	5.67	0.36	1.26	0	0.12
st4-6B	st4_6	st4	SSPS3	Stunted_hardwood	Freshwater	183	100_to_200	Catotelm	5.16	5.67	0.36	1.26	0	0.12
st4-6C	st4_6	st4	SSPS3	Stunted_hardwood	Freshwater	183	100_to_200	Catotelm	5.16	5.67	0.36	1.26	0	0.12
st4-7A	st4_7	st4	SSPS3	Stunted_hardwood	Freshwater	198	100_to_200	Catotelm	5.37	4.13	0.42	0.86	0.11	0.06
st4-7B	st4_7	st4	SSPS3	Stunted_hardwood	Freshwater	198	100_to_200	Catotelm	5.37	4.13	0.42	0.86	0.11	0.06
st4-7C	st4_7	st4	SSPS3	Stunted_hardwood	Freshwater	198	100_to_200	Catotelm	5.37	4.13	0.42	0.86	0.11	0.06
st5-1A	st5_1	st5	SSPS4	Sawgrass	Freshwater	2	0_to_30	Acrotelm	4.11	11.92	1.6	0.47	0.01	0
st5-1B	st5_1	st5	SSPS4	Sawgrass	Freshwater	2	0_to_30	Acrotelm	4.11	11.92	1.6	0.47	0.01	0
st5-1C	st5_1	st5	SSPS4	Sawgrass	Freshwater	2	0_to_30	Acrotelm	4.11	11.92	1.6	0.47	0.01	0
st5-2A	st5_2	st5	SSPS4	Sawgrass	Freshwater	12	0_to_30	Acrotelm	4.23	5.57	0.7	0.54	0.01	0.16
st5-2B	st5_2	st5	SSPS4	Sawgrass	Freshwater	12	0_to_30	Acrotelm	4.23	5.57	0.7	0.54	0.01	0.16
st5-2C	st5_2	st5	SSPS4	Sawgrass	Freshwater	12	0_to_30	Acrotelm	4.23	5.57	0.7	0.54	0.01	0.16
st5-3A	st5_3	st5	SSPS4	Sawgrass	Freshwater	23	0_to_30	Acrotelm	4.16	5.34	0.19	0.5	0.03	0
st5-3B	st5_3	st5	SSPS4	Sawgrass	Freshwater	23	0_to_30	Acrotelm	4.16	5.34	0.19	0.5	0.03	0
st5-3C	st5_3	st5	SSPS4	Sawgrass	Freshwater	23	0_to_30	Acrotelm	4.16	5.34	0.19	0.5	0.03	0
st5-4A	st5_4	st5	SSPS4	Sawgrass	Freshwater	53	30_to_100	Catotelm	3.7	5.43	0.21	1.05	0.09	0.08
st5-4B	st5_4	st5	SSPS4	Sawgrass	Freshwater	53	30_to_100	Catotelm	3.7	5.43	0.21	1.05	0.09	0.08
st5-4C	st5_4	st5	SSPS4	Sawgrass	Freshwater	53	30_to_100	Catotelm	3.7	5.43	0.21	1.05	0.09	0.08
st5-5A	st5_5	st5	SSPS4	Sawgrass	Freshwater	93	30_to_100	Catotelm	3.6	7.65	0.59	1.7	0.01	1.6
st5-5B	st5_5	st5	SSPS4	Sawgrass	Freshwater	93	30_to_100	Catotelm	3.6	7.65	0.59	1.7	0.01	1.6
st5-5C	st5_5	st5	SSPS4	Sawgrass	Freshwater	93	30_to_100	Catotelm	3.6	7.65	0.59	1.7	0.01	1.6
st5-6A	st5_6	st5	SSPS4	Sawgrass	Freshwater	132	100_to_200	Catotelm	4.12	6.9	0.54	1.2	0.02	1.3
st5-6B	st5_6	st5	SSPS4	Sawgrass	Freshwater	132	100_to_200	Catotelm	4.12	6.9	0.54	1.2	0.02	1.3
st5-6C	st5_6	st5	SSPS4	Sawgrass	Freshwater	132	100_to_200	Catotelm	4.12	6.9	0.54	1.2	0.02	1.3
st5-7A	st5_7	st5	SSPS4	Sawgrass	Freshwater	198	100_to_200	Catotelm	4.4	4.31	0.28	0.41	0.08	1.5
st5-7B	st5_7	st5	SSPS4	Sawgrass	Freshwater	198	100_to_200	Catotelm	4.4	4.31	0.28	0.41	0.08	1.5
st5-7C	st5_7	st5	SSPS4	Sawgrass	Freshwater	198	100_to_200	Catotelm	4.4	4.31	0.28	0.41	0.08	1.5