	st1_1	st1_2	st1_3	st1_4	st1_5	st1_6	st1_7	st2_1	st2_2	st2_3	st2_4	st2_5	st2_6	st2_7	st4_1	st4_2	st4_3	st4_4	st4_5	st4_6	st4_7	st5_1	st5_2	st5_3	st5_4	st5_5	st5_6	st5_7
st1_1	0.0	0.5753452775415653	0.6407940650382664	0.7991965516230244	0.9077207283816673	0.9520570037826585	0.9557810163328739	0.9943406738410111	0.9285106882092484	0.9945752573087412	0.9949271325103364	0.9949564554438026	0.9944286426414098	0.9944872885083423	0.9960120810485881	0.9958947893147231	0.9973022901211037	0.9946925490426062	0.9953376535788641	0.9892678063513474	0.9948391637099375	0.9527900771193151	0.9926106207665015	0.9933143711696918	0.9923173914318388	0.9880948890126968	0.9856610855349969	0.990558015423863
st1_2	0.5753452775415653	0.0	0.6239040553616984	0.8543236665396006	0.8905961352373691	0.9338181391666422	0.9478345013635164	0.9945752573087412	0.9925812978330352	0.9945459343752749	0.9953669765123303	0.9955429141131279	0.9944579655748761	0.9948098407764713	0.9960414039820543	0.9961880186493857	0.9975955194557663	0.9950151013107351	0.9953376535788641	0.993343694103158	0.9952790077119315	0.9914377034278509	0.9931970794358268	0.9932557253027593	0.9925226519661027	0.9931384335688942	0.9900888484884027	0.988769316482421
st1_3	0.6407940650382664	0.6239040553616984	0.0	0.6296220273876199	0.7036331114564701	0.7887282643755681	0.8222443773275079	0.9960414039820543	0.9944286426414098	0.984781397531009	0.9881535348796293	0.9854265020672668	0.9777438934991056	0.9771281118963141	0.9907632759581269	0.994780517843005	0.9959827581151218	0.9783010292349646	0.9762191009588599	0.9720552444066505	0.9769814972289828	0.9939301527724833	0.9953669765123303	0.9867753570067149	0.9774799870979093	0.979004779638155	0.9776852476321731	0.9769228513620503
st1_4	0.7991965516230244	0.8543236665396006	0.6296220273876199	0.0	0.3267161246811131	0.5789519983579158	0.5823534586400023	0.9979180717238952	0.9947511949095388	0.9930211418350292	0.9913497346274521	0.9890625458170835	0.9749288918863444	0.9715860774711902	0.992991818901563	0.9945166114418086	0.9960120810485881	0.9841362929947512	0.9748409230859455	0.953904348591033	0.9565434126029968	0.9962466645163182	0.9967158314517784	0.9882415036800282	0.9868046799401812	0.9812626455150574	0.9774213412309768	0.9744304020174178
st1_5	0.9077207283816673	0.8905961352373691	0.7036331114564701	0.3267161246811131	0.0	0.5517109931677565	0.584757939184236	0.9980060405242941	0.9965692167844471	0.9941060903732809	0.9920534850306425	0.9907632759581269	0.9706770665337361	0.9627305515643785	0.9946339031756737	0.9965985397179133	0.9967744773187109	0.9856024396680644	0.967891387854441	0.9508254405770753	0.9563674750021992	0.9969210919860423	0.9968331231856435	0.9898542650206726	0.988446764214292	0.9830806673899657	0.973345453479166	0.9669823769169867
st1_6	0.9520570037826585	0.9338181391666422	0.7887282643755681	0.5789519983579158	0.5517109931677565	0.0	0.4896343430196757	0.9990616661290795	0.9991789578629446	0.997888748790429	0.997009060786441	0.9967158314517784	0.9926106207665015	0.9880948890126968	0.9971556754537724	0.9981526551916253	0.997888748790429	0.995454945312729	0.9917602556959798	0.9715860774711902	0.9756326422895346	0.9987977597278832	0.9989443743952146	0.9959241122481893	0.9942820279740785	0.9939887986394159	0.9938421839720846	0.9919655162302436
st1_7	0.9557810163328739	0.9478345013635164	0.8222443773275079	0.5823534586400023	0.584757939184236	0.4896343430196757	0.0	0.9991496349294784	0.998445884526288	0.997888748790429	0.9961000498489869	0.993109110635428	0.9872738468756415	0.9837257719262235	0.9967158314517784	0.9982992698589567	0.9978594258569627	0.9915256722282497	0.9872445239421752	0.9695041491950854	0.9708823270679999	0.9992082807964109	0.9990323431956133	0.9934316629035569	0.9895317127525438	0.989121191684016	0.989443743952145	0.9882708266134944
st2_1	0.9943406738410111	0.9945752573087412	0.9960414039820543	0.9979180717238952	0.9980060405242941	0.9990616661290795	0.9991496349294784	0.0	0.4542708852593613	0.9135853150749201	0.9245227692578366	0.9895903586194763	0.9869219716740463	0.9953376535788641	0.9366917866463361	0.7499926692666334	0.531214262674838	0.982670146321438	0.9925519748995689	0.9917895786294461	0.99489780957687	0.9299181890156292	0.9707943582676011	0.9661026889129989	0.987009940474445	0.9922587455649063	0.9877136908776354	0.9934316629035569
st2_2	0.9285106882092484	0.9925812978330352	0.9944286426414098	0.9947511949095388	0.9965692167844471	0.9991789578629446	0.998445884526288	0.4542708852593613	0.0	0.8956983256604991	0.9116500014661467	0.9866287423393836	0.9812039996481248	0.9937248922382195	0.9298302202152303	0.731167345981292	0.5908864322786852	0.9777438934991056	0.9902354631557341	0.9879775972788317	0.9930504647684955	0.9465149693575345	0.9752807670879394	0.9665718558484591	0.9855144708676656	0.9878016596780342	0.9825528545875729	0.9907046300911944
st2_3	0.9945752573087412	0.9945459343752749	0.984781397531009	0.9930211418350292	0.9941060903732809	0.997888748790429	0.997888748790429	0.9135853150749201	0.8956983256604991	0.0	0.5312729085417706	0.765944345072281	0.863149869512946	0.9107116675952263	0.5659032929654283	0.6196522300090901	0.9427616338738527	0.7644488754655016	0.8765504501070287	0.9281001671407207	0.9332023575638507	0.9362812655778084	0.8565228865495704	0.7253027592880392	0.806263378588394	0.8594551798961968	0.8389584494032784	0.8907134269712342
st2_4	0.9949271325103364	0.9953669765123303	0.9881535348796293	0.9913497346274521	0.9920534850306425	0.997009060786441	0.9961000498489869	0.9245227692578366	0.9116500014661467	0.5312729085417706	0.0	0.5552883910506407	0.8033897311087002	0.8832654018708032	0.5949623200304959	0.7693164824209013	0.9498284608392223	0.6387707826290943	0.8172301557047768	0.9006245784828314	0.9162243790868838	0.94757059496232	0.857138668152362	0.6648388704806029	0.7530422543471249	0.773597630706976	0.7661789285400111	0.8441779315602733
st2_5	0.9949564554438026	0.9955429141131279	0.9854265020672668	0.9890625458170835	0.9907632759581269	0.9967158314517784	0.993109110635428	0.9895903586194763	0.9866287423393836	0.765944345072281	0.5552883910506407	0.0	0.6161921238600709	0.6786499721432132	0.6772424713368326	0.8774301381110167	0.987567076210304	0.405242940503768	0.5816203853033457	0.7878485763715802	0.8423012638184324	0.9634343019675689	0.8574905433539571	0.6860979972436443	0.6429639621147699	0.5158490455385156	0.5592176641351201	0.6830484121631528
st2_6	0.9944286426414098	0.9944579655748761	0.9777438934991056	0.9749288918863444	0.9706770665337361	0.9926106207665015	0.9872738468756415	0.9869219716740463	0.9812039996481248	0.863149869512946	0.8033897311087002	0.6161921238600709	0.0	0.29390376213236374	0.8564055948157053	0.92378969592118	0.9866287423393836	0.5871624197284696	0.33554232765445857	0.5813858018356156	0.6713192387766472	0.9718499838723866	0.9504442424420139	0.8342374571152098	0.7351845878661701	0.45990088848488403	0.4391109286573029	0.4400785854616896
st2_7	0.9944872885083423	0.9948098407764713	0.9771281118963141	0.9715860774711902	0.9627305515643785	0.9880948890126968	0.9837257719262235	0.9953376535788641	0.9937248922382195	0.9107116675952263	0.8832654018708032	0.6786499721432132	0.29390376213236374	0.0	0.9032929654282614	0.9616162800926604	0.9934316629035569	0.6611148579303874	0.38386652200686155	0.49731695158783684	0.6021171157962643	0.9809987391138609	0.9723777966747793	0.8913878544409582	0.7816614374101986	0.5197489956895288	0.49787408732369587	0.42961029821423335
st4_1	0.9960120810485881	0.9960414039820543	0.9907632759581269	0.992991818901563	0.9946339031756737	0.9971556754537724	0.9967158314517784	0.9366917866463361	0.9298302202152303	0.5659032929654283	0.5949623200304959	0.6772424713368326	0.8564055948157053	0.9032929654282614	0.0	0.6393572412984195	0.9391842359909686	0.6553089171040671	0.8474621001084949	0.9253144884614257	0.9322053778259977	0.9258716241972847	0.7715450253643374	0.5694513679148462	0.6805852857519866	0.7862358150309356	0.7853561270269478	0.8834120165381345
st4_2	0.9958947893147231	0.9961880186493857	0.994780517843005	0.9945166114418086	0.9965985397179133	0.9981526551916253	0.9982992698589567	0.7499926692666334	0.731167345981292	0.6196522300090901	0.7693164824209013	0.8774301381110167	0.92378969592118	0.9616162800926604	0.6393572412984195	0.0	0.6604697533941295	0.8425651702196287	0.9360466821100782	0.9640207606368941	0.9700906078644107	0.8755534703691757	0.812479840483242	0.7751810691141542	0.8614491393719028	0.9188047972319151	0.8881916546931355	0.9388910066563059
st4_3	0.9973022901211037	0.9975955194557663	0.9959827581151218	0.9960120810485881	0.9967744773187109	0.997888748790429	0.9978594258569627	0.531214262674838	0.5908864322786852	0.9427616338738527	0.9498284608392223	0.987567076210304	0.9866287423393836	0.9934316629035569	0.9391842359909686	0.6604697533941295	0.0	0.9795032695070814	0.9892384834178811	0.9901768172888016	0.9920534850306425	0.944462364014896	0.9803829575110694	0.969562795062018	0.9862182212708559	0.9901181714218691	0.984781397531009	0.9897369732868077
st4_4	0.9946925490426062	0.9950151013107351	0.9783010292349646	0.9841362929947512	0.9856024396680644	0.995454945312729	0.9915256722282497	0.982670146321438	0.9777438934991056	0.7644488754655016	0.6387707826290943	0.405242940503768	0.5871624197284696	0.6611148579303874	0.6553089171040671	0.8425651702196287	0.9795032695070814	0.0	0.5149693575345278	0.7489663665953142	0.8108084332756649	0.9508840864440079	0.876814356508225	0.6373339588892473	0.5398352051139196	0.3920769433774155	0.43295311262938746	0.6000058645866932
st4_5	0.9953376535788641	0.9953376535788641	0.9762191009588599	0.9748409230859455	0.967891387854441	0.9917602556959798	0.9872445239421752	0.9925519748995689	0.9902354631557341	0.8765504501070287	0.8172301557047768	0.5816203853033457	0.33554232765445857	0.38386652200686155	0.8474621001084949	0.9360466821100782	0.9892384834178811	0.5149693575345278	0.0	0.6081576400903146	0.6999677447731871	0.9711462334691963	0.9449608538838226	0.8242090138697475	0.6942497727472656	0.4321907163592646	0.34908952291587253	0.42213295018033603
st4_6	0.9892678063513474	0.993343694103158	0.9720552444066505	0.953904348591033	0.9508254405770753	0.9715860774711902	0.9695041491950854	0.9917895786294461	0.9879775972788317	0.9281001671407207	0.9006245784828314	0.7878485763715802	0.5813858018356156	0.49731695158783684	0.9253144884614257	0.9640207606368941	0.9901768172888016	0.7489663665953142	0.6081576400903146	0.0	0.30495850804914526	0.9792100401724189	0.9751341524206082	0.9041140075653168	0.8237398469342873	0.7315485441163534	0.6610562120634548	0.5968096648388704
st4_7	0.9948391637099375	0.9952790077119315	0.9769814972289828	0.9565434126029968	0.9563674750021992	0.9756326422895346	0.9708823270679999	0.99489780957687	0.9930504647684955	0.9332023575638507	0.9162243790868838	0.8423012638184324	0.6713192387766472	0.6021171157962643	0.9322053778259977	0.9700906078644107	0.9920534850306425	0.8108084332756649	0.6999677447731871	0.30495850804914526	0.0	0.9866580652728499	0.9826408233879718	0.9164882854880803	0.8551153857431898	0.8037416063102952	0.7449491247104361	0.6597073571240066
st5_1	0.9527900771193151	0.9914377034278509	0.9939301527724833	0.9962466645163182	0.9969210919860423	0.9987977597278832	0.9992082807964109	0.9299181890156292	0.9465149693575345	0.9362812655778084	0.94757059496232	0.9634343019675689	0.9718499838723866	0.9809987391138609	0.9258716241972847	0.8755534703691757	0.944462364014896	0.9508840864440079	0.9711462334691963	0.9792100401724189	0.9866580652728499	0.0	0.7419288625634108	0.8153534879629358	0.9278362607395244	0.9530539835205114	0.9369263701140662	0.9701785766648096
st5_2	0.9926106207665015	0.9931970794358268	0.9953669765123303	0.9967158314517784	0.9968331231856435	0.9989443743952146	0.9990323431956133	0.9707943582676011	0.9752807670879394	0.8565228865495704	0.857138668152362	0.8574905433539571	0.9504442424420139	0.9723777966747793	0.7715450253643374	0.812479840483242	0.9803829575110694	0.876814356508225	0.9449608538838226	0.9751341524206082	0.9826408233879718	0.7419288625634108	0.0	0.6065155558162039	0.8172301557047768	0.9093334897223119	0.88446764214292	0.9557223704659414
st5_3	0.9933143711696918	0.9932557253027593	0.9867753570067149	0.9882415036800282	0.9898542650206726	0.9959241122481893	0.9934316629035569	0.9661026889129989	0.9665718558484591	0.7253027592880392	0.6648388704806029	0.6860979972436443	0.8342374571152098	0.8913878544409582	0.5694513679148462	0.7751810691141542	0.969562795062018	0.6373339588892473	0.8242090138697475	0.9041140075653168	0.9164882854880803	0.8153534879629358	0.6065155558162039	0.0	0.5624725097498754	0.7388792774829194	0.7299357827757089	0.8479019441104888
st5_4	0.9923173914318388	0.9925226519661027	0.9774799870979093	0.9868046799401812	0.988446764214292	0.9942820279740785	0.9895317127525438	0.987009940474445	0.9855144708676656	0.806263378588394	0.7530422543471249	0.6429639621147699	0.7351845878661701	0.7816614374101986	0.6805852857519866	0.8614491393719028	0.9862182212708559	0.5398352051139196	0.6942497727472656	0.8237398469342873	0.8551153857431898	0.9278362607395244	0.8172301557047768	0.5624725097498754	0.0	0.5743482978037123	0.6161334779931384	0.7373838078761399
st5_5	0.9880948890126968	0.9931384335688942	0.979004779638155	0.9812626455150574	0.9830806673899657	0.9939887986394159	0.989121191684016	0.9922587455649063	0.9878016596780342	0.8594551798961968	0.773597630706976	0.5158490455385156	0.45990088848488403	0.5197489956895288	0.7862358150309356	0.9188047972319151	0.9901181714218691	0.3920769433774155	0.4321907163592646	0.7315485441163534	0.8037416063102952	0.9530539835205114	0.9093334897223119	0.7388792774829194	0.5743482978037123	0.0	0.29015042664868196	0.5470193238131543
st5_6	0.9856610855349969	0.9900888484884027	0.9776852476321731	0.9774213412309768	0.973345453479166	0.9938421839720846	0.989443743952145	0.9877136908776354	0.9825528545875729	0.8389584494032784	0.7661789285400111	0.5592176641351201	0.4391109286573029	0.49787408732369587	0.7853561270269478	0.8881916546931355	0.984781397531009	0.43295311262938746	0.34908952291587253	0.6610562120634548	0.7449491247104361	0.9369263701140662	0.88446764214292	0.7299357827757089	0.6161334779931384	0.29015042664868196	0.0	0.4517784359147289
st5_7	0.990558015423863	0.988769316482421	0.9769228513620503	0.9744304020174178	0.9669823769169867	0.9919655162302436	0.9882708266134944	0.9934316629035569	0.9907046300911944	0.8907134269712342	0.8441779315602733	0.6830484121631528	0.4400785854616896	0.42961029821423335	0.8834120165381345	0.9388910066563059	0.9897369732868077	0.6000058645866932	0.42213295018033603	0.5968096648388704	0.6597073571240066	0.9701785766648096	0.9557223704659414	0.8479019441104888	0.7373838078761399	0.5470193238131543	0.4517784359147289	0.0
